Feature Word,Priority Index Old,Proximity Score,Neighbour
162,0.2254847504632474,0.5534633734175602,representation
problems,0.2173152645426909,0.35071852938752146,representation
representation problems,0.23504666712409938,0.35071852938752146,representation
small,0.29843195969588954,0.44574458476284035,window
window,0.4709893863127943,0.31205760050020936,window
representing,0.32514889549840736,0.3231176910750015,window
fixed,0.32514889549840736,0.3231176910750015,window
limits,0.4709893863127943,0.2899374193506252,window
large,0.40335411685477374,0.3792353574954451,Also
Also,0.4068695076045183,0.4293737213609673,Also
sort,0.4709893863127943,0.3539824076062455,Also
employs,0.4709893863127943,0.3483706409642011,Also
divided,0.24707565987778846,0.302268605912699,Also
prone,0.4709893863127943,0.33340053271557885,Also
"window""",0.6168298771263208,0.3046842067838875,Also
"window""",0.6168298771263208,0.3046842067838875,sort
scale,0.4709893863127943,0.3792353574954451,Also
appropriate,0.4709893863127943,0.3708177075323786,Also
Storage,0.4709893863127943,0.31620513446575643,basic
basic,0.29048394609579636,0.3231176910750015,basic
components,0.5717461039679784,0.3075985391201531,basic
ease,0.4709893863127943,0.3092925778565114,basic
mantissa,0.6989797534111973,0.3231176910750015,basic
three,0.12574165937294926,0.3146081217139289,basic
Layout,0.32514889549840736,0.3231176910750015,basic
IEEE floating,0.71314250017186,0.3231176910750015,basic
composed,0.42561092788573396,0.3231176910750015,explained
explained,0.41691142834516903,0.3231176910750015,explained
fraction,0.7502030605910247,0.18394350531611817,explained
base,0.6289094815187359,0.3518091291509061,following
following,0.25502858396050093,0.4257507915901778,following
figure,0.4709893863127943,0.3194194161711076,following
shows,0.26317619301299067,0.39058169161522643,following
need,0.2974948500280101,0.39058169161522643,following
64-bit,0.2254847504632474,0.40331923040704426,following
layout,0.32514889549840736,0.3317057722691066,following
single,0.2381954470907141,0.40331923040704426,following
stored,0.5677851559296282,0.3518091291509061,following
exponent base,0.6234995314751898,0.35212311005368957,following
brackets,0.4709893863127943,0.3231176910750015,31
31,0.2254847504632474,0.3231176910750015,31
Bit,0.4709893863127943,0.3231176910750015,31
square,0.4709893863127943,0.3231176910750015,31
shown,0.2173152645426909,0.5608201111603588,31
Sign,0.6013306968371159,0.35949310462540146,31
11,0.5811816291659565,0.4189504422505788,31
22-00,0.2254847504632474,0.3231176910750015,31
